Variable,Domain,Imputation_type,Missing_indicator_for_sensitivity
Age,Demographics_and_timing,continuous,False
Onset_to_admission(d),Demographics_and_timing,continuous,False
Male,Demographics_and_timing,discrete/low-cardinality,False
Chest_pain,Clinical_symptoms_and_status,discrete/low-cardinality,False
Shortness_of_breath,Clinical_symptoms_and_status,discrete/low-cardinality,False
Back_pain,Clinical_symptoms_and_status,discrete/low-cardinality,False
Lower_back_pain,Clinical_symptoms_and_status,discrete/low-cardinality,False
Neck_pain,Clinical_symptoms_and_status,discrete/low-cardinality,False
Abdominal_pain,Clinical_symptoms_and_status,discrete/low-cardinality,False
Symptoms_cerebral_malperfusion,Clinical_symptoms_and_status,discrete/low-cardinality,False
Symptoms_spinal_malperfusion,Clinical_symptoms_and_status,discrete/low-cardinality,False
Symptoms_lowerlimb_malperfusion,Clinical_symptoms_and_status,discrete/low-cardinality,False
Preop_coma,Clinical_symptoms_and_status,discrete/low-cardinality,False
Preop_introbation,Clinical_symptoms_and_status,discrete/low-cardinality,False
Preop_hemodymical_unstable,Clinical_symptoms_and_status,discrete/low-cardinality,False
Hypertension,Comorbidities_and_history,discrete/low-cardinality,False
Diabetes,Comorbidities_and_history,discrete/low-cardinality,False
CTD,Comorbidities_and_history,discrete/low-cardinality,False
Smoking,Comorbidities_and_history,discrete/low-cardinality,False
Coronary_heart_disease,Comorbidities_and_history,discrete/low-cardinality,False
AF,Comorbidities_and_history,discrete/low-cardinality,False
Renal_dysfunction,Comorbidities_and_history,discrete/low-cardinality,False
COPD,Comorbidities_and_history,discrete/low-cardinality,False
Stroke_history,Comorbidities_and_history,discrete/low-cardinality,False
Preop_acute_stroke,Comorbidities_and_history,discrete/low-cardinality,False
Typeb_to_typea,Comorbidities_and_history,discrete/low-cardinality,False
CVS_history,Comorbidities_and_history,discrete/low-cardinality,False
TEAVR_history,Comorbidities_and_history,discrete/low-cardinality,False
WBC,Laboratory_tests,continuous,True
RBC,Laboratory_tests,continuous,True
Hemoglobin,Laboratory_tests,continuous,True
Platelet,Laboratory_tests,continuous,True
Neurophil,Laboratory_tests,continuous,True
Lymphocyte,Laboratory_tests,continuous,True
NLR,Laboratory_tests,continuous,True
Creatinine,Laboratory_tests,continuous,True
Blood_glucose,Laboratory_tests,continuous,True
Blood_potassium,Laboratory_tests,continuous,True
Blood_calcium,Laboratory_tests,continuous,True
CK,Laboratory_tests,continuous,True
CK_MB,Laboratory_tests,continuous,True
Lactic_dyhydrogenase,Laboratory_tests,continuous,True
Total_protein,Laboratory_tests,continuous,True
Albumin,Laboratory_tests,continuous,True
Total_bilirubin,Laboratory_tests,continuous,True
Combined_bilirubin,Laboratory_tests,continuous,True
ALT,Laboratory_tests,continuous,True
D_dimer,Laboratory_tests,continuous,True
BNP,Laboratory_tests,Fold-specific if retained; globally filtered in Stage01,False
Troponin,Laboratory_tests,Fold-specific if retained; globally filtered in Stage01,False
PCT,Laboratory_tests,Fold-specific if retained; globally filtered in Stage01,False
Preop_aortic_regurgitation,Echocardiography_and_valve_status,continuous,True
LVEDD,Echocardiography_and_valve_status,continuous,True
LVESD,Echocardiography_and_valve_status,continuous,True
LVEF,Echocardiography_and_valve_status,continuous,True
Ventricular_septal_thickness,Echocardiography_and_valve_status,continuous,True
LV_freewall_thickness,Echocardiography_and_valve_status,continuous,True
With_preop_echo,Echocardiography_and_valve_status,discrete/low-cardinality,True
Bileaflet,Echocardiography_and_valve_status,discrete/low-cardinality,False
Valvulopathy,Echocardiography_and_valve_status,discrete/low-cardinality,False
Aortic_stenosis,Echocardiography_and_valve_status,discrete/low-cardinality,False
Mitral_regurgitation_or_stenosis,Echocardiography_and_valve_status,discrete/low-cardinality,False
Tricuspid_regurgitation,Echocardiography_and_valve_status,discrete/low-cardinality,False
Cardiac_malperfusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Cerebral_malperfusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Renal_malperfusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Mesenteric_malperfusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Spinal_malperfusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Lower_limb_malperfusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Pericardial_effusion,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Tamponade,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Classic_aortic_dissection,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Intramural_hematoma,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Penetrating_ulcer,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
Arthrosclerotic_aorta,Preoperative_pathology_and_malperfusion,discrete/low-cardinality,False
False_aneurysm,Preoperative_pathology_and_malperfusion,Fold-specific if retained; globally filtered in Stage01,False
IA_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
IA_stenosis>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
IAdissection_>50%length,Strict_preoperative_CTA,discrete/low-cardinality,False
IA_FL>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
RAX_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
RAX_FL>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
RX_stenosis>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
RCCA_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
RCCA_stenosis>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
RCCA_dissection>50%length,Strict_preoperative_CTA,discrete/low-cardinality,False
RCCA_FL>50%_,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_carotid_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_carotid_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
LCCA_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
LCCA_stenosis>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
LCCA_dissection>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
LCCA_FL>50%,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_carotid_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
LSA_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Normal_arch,Strict_preoperative_CTA,discrete/low-cardinality,False
Bovine_arch,Strict_preoperative_CTA,discrete/low-cardinality,False
ARSA,Strict_preoperative_CTA,discrete/low-cardinality,False
Independent_left_spinal_artery,Strict_preoperative_CTA,discrete/low-cardinality,False
First_tear_root,Strict_preoperative_CTA,discrete/low-cardinality,False
First_tear_ascending_aorta,Strict_preoperative_CTA,discrete/low-cardinality,False
First_tear_arch,Strict_preoperative_CTA,discrete/low-cardinality,False
First_tear_descending_aorta,Strict_preoperative_CTA,discrete/low-cardinality,False
First_tear_abdominal_aorta,Strict_preoperative_CTA,discrete/low-cardinality,False
No_apparent_tear,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_coronary_from_FL,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_coronary_from_FL,Strict_preoperative_CTA,discrete/low-cardinality,False
Descending_aorta_FL>TL,Strict_preoperative_CTA,discrete/low-cardinality,False
Abdominal_aorta_FL>TL,Strict_preoperative_CTA,discrete/low-cardinality,False
Celiac_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Celiac_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
SMA_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
SMA_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_renal_artery_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_renal_artery_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_renal_artery_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_renal_artery_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_iliac_artery_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_iliac_artery_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_femoral_artery_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_iliac_artery_dissection,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_iliac_artery_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_femoral_artery_stenosis,Strict_preoperative_CTA,discrete/low-cardinality,False
CT_identified_abdominal_low_perfusion_or_infarction,Strict_preoperative_CTA,discrete/low-cardinality,False
CT_identified_right_renal_low_perfusion_or_infarction,Strict_preoperative_CTA,discrete/low-cardinality,False
Right_renal_atrophy,Strict_preoperative_CTA,discrete/low-cardinality,False
CT_identified_left_renal_low_perfusion_or_infarction,Strict_preoperative_CTA,discrete/low-cardinality,False
Left_renal_atrophy,Strict_preoperative_CTA,discrete/low-cardinality,False
