Variant,Family,Display,Metric,Full_estimate,Ablated_estimate,Paired_delta_ablation_minus_full,Delta_CI_lower,Delta_CI_upper,Bootstrap_valid
Without__Demographics_and_timing,Leave_one_domain_out,Without Demographics and timing,AUROC,0.8110214441443493,0.8089334331239899,-0.0020880110203593816,-0.006282029285865379,0.0023808320868824607,2000
Without__Demographics_and_timing,Leave_one_domain_out,Without Demographics and timing,AUPRC,0.6754593236524882,0.6695523330246551,-0.005906990627833064,-0.011461060109724534,-0.0006888860859999198,2000
Without__Demographics_and_timing,Leave_one_domain_out,Without Demographics and timing,Brier,0.14929884051124392,0.15061655474047222,0.0013177142292283006,-7.410772659545913e-05,0.002835507246095104,2000
Without__Demographics_and_timing,Leave_one_domain_out,Without Demographics and timing,LogLoss,0.4625601436382959,0.4660559886163482,0.0034958449780523315,-0.000333648421826635,0.007447023538835342,2000
Without__Clinical_symptoms_and_status,Leave_one_domain_out,Without Symptoms and clinical status,AUROC,0.8110214441443493,0.8104655451064614,-0.0005558990378878859,-0.005181937068028247,0.0041856477136714655,2000
Without__Clinical_symptoms_and_status,Leave_one_domain_out,Without Symptoms and clinical status,AUPRC,0.6754593236524882,0.6785270193445978,0.0030676956921096288,-0.003271659306348687,0.009638687414604132,2000
Without__Clinical_symptoms_and_status,Leave_one_domain_out,Without Symptoms and clinical status,Brier,0.14929884051124392,0.14857197024430419,-0.0007268702669397387,-0.0024052724974991104,0.000910620624948514,2000
Without__Clinical_symptoms_and_status,Leave_one_domain_out,Without Symptoms and clinical status,LogLoss,0.4625601436382959,0.4625568421355722,-3.301502723707106e-06,-0.004636134049251135,0.004530359285759841,2000
Without__Comorbidities_and_history,Leave_one_domain_out,Without Comorbidities and history,AUROC,0.8110214441443493,0.8154496545290857,0.004428210384736397,-0.002228768795830246,0.01166774687562599,2000
Without__Comorbidities_and_history,Leave_one_domain_out,Without Comorbidities and history,AUPRC,0.6754593236524882,0.6744949935550969,-0.000964330097391275,-0.010531653300087868,0.008416790302399432,2000
Without__Comorbidities_and_history,Leave_one_domain_out,Without Comorbidities and history,Brier,0.14929884051124392,0.14850572828971853,-0.0007931122215253938,-0.003255103882802316,0.001746738470938974,2000
Without__Comorbidities_and_history,Leave_one_domain_out,Without Comorbidities and history,LogLoss,0.4625601436382959,0.46041665311694,-0.002143490521355873,-0.008897780930103339,0.004601151882467945,2000
Without__Laboratory_tests,Leave_one_domain_out,Without Laboratory tests,AUROC,0.8110214441443493,0.8182644018526353,0.00724295770828598,0.0016752146899049942,0.012853276639844953,2000
Without__Laboratory_tests,Leave_one_domain_out,Without Laboratory tests,AUPRC,0.6754593236524882,0.6785479207806863,0.0030885971281980895,-0.004297264191472824,0.010896441805666682,2000
Without__Laboratory_tests,Leave_one_domain_out,Without Laboratory tests,Brier,0.14929884051124392,0.14820113086823844,-0.0010977096430054845,-0.0030972235096756668,0.0008068244486331803,2000
Without__Laboratory_tests,Leave_one_domain_out,Without Laboratory tests,LogLoss,0.4625601436382959,0.4584102709357728,-0.004149872702523094,-0.009603855659060532,0.0009384276271380714,2000
Without__Echocardiography_and_valve_status,Leave_one_domain_out,Without Echocardiography and valve status,AUROC,0.8110214441443493,0.7307333528575922,-0.08028809128675707,-0.09922087898784118,-0.060967847390248534,2000
Without__Echocardiography_and_valve_status,Leave_one_domain_out,Without Echocardiography and valve status,AUPRC,0.6754593236524882,0.5774305790491007,-0.09802874460338751,-0.13269227754627388,-0.0626941980440639,2000
Without__Echocardiography_and_valve_status,Leave_one_domain_out,Without Echocardiography and valve status,Brier,0.14929884051124392,0.17333804474860157,0.024039204237357642,0.016713237383638384,0.031093632714774763,2000
Without__Echocardiography_and_valve_status,Leave_one_domain_out,Without Echocardiography and valve status,LogLoss,0.4625601436382959,0.5254680348843654,0.06290789124606955,0.04284541673133762,0.08179341933413728,2000
Without__Preoperative_pathology_and_malperfusion,Leave_one_domain_out,Without Pathology and malperfusion,AUROC,0.8110214441443493,0.8030598852407449,-0.007961558903604393,-0.01873089462934834,0.002585577424614543,2000
Without__Preoperative_pathology_and_malperfusion,Leave_one_domain_out,Without Pathology and malperfusion,AUPRC,0.6754593236524882,0.6589474495061484,-0.01651187414633981,-0.030900583993981542,-0.003203607510129828,2000
Without__Preoperative_pathology_and_malperfusion,Leave_one_domain_out,Without Pathology and malperfusion,Brier,0.14929884051124392,0.15338000453777045,0.004081164026526529,0.0008984687449994616,0.007638851988183401,2000
Without__Preoperative_pathology_and_malperfusion,Leave_one_domain_out,Without Pathology and malperfusion,LogLoss,0.4625601436382959,0.47273254937572473,0.010172405737428836,0.0005944969346888111,0.020001447091909364,2000
Without__Strict_preoperative_CTA,Leave_one_domain_out,Without CTA anatomy,AUROC,0.8110214441443493,0.7941410953109238,-0.016880348833425485,-0.033886362160852716,7.35813592880333e-05,2000
Without__Strict_preoperative_CTA,Leave_one_domain_out,Without CTA anatomy,AUPRC,0.6754593236524882,0.6373707917744414,-0.03808853187804673,-0.06015487801067521,-0.014966085739628347,2000
Without__Strict_preoperative_CTA,Leave_one_domain_out,Without CTA anatomy,Brier,0.14929884051124392,0.15674286461118372,0.0074440240999398,0.0015886930143480145,0.013234437470235949,2000
Without__Strict_preoperative_CTA,Leave_one_domain_out,Without CTA anatomy,LogLoss,0.4625601436382959,0.4861727395237676,0.02361259588547171,0.007937648837317566,0.03942917873359789,2000
Without__all_preoperative_imaging,Leave_group_out,Without echocardiography and CTA,AUROC,0.8110214441443493,0.6674937359669388,-0.14352770817741045,-0.1708851997468311,-0.11434821582553695,2000
Without__all_preoperative_imaging,Leave_group_out,Without echocardiography and CTA,AUPRC,0.6754593236524882,0.4827683126484821,-0.1926910110040061,-0.23392870692899695,-0.14891823879124297,2000
Without__all_preoperative_imaging,Leave_group_out,Without echocardiography and CTA,Brier,0.14929884051124392,0.18858388013711613,0.03928503962587221,0.030400131852523615,0.0479570452625712,2000
Without__all_preoperative_imaging,Leave_group_out,Without echocardiography and CTA,LogLoss,0.4625601436382959,0.5640985664222586,0.10153842278396275,0.07777190888653222,0.12543494203491073,2000
Only__Demographics_and_timing,Domain_only,Demographics and timing only,AUROC,0.8110214441443493,0.5663594307593852,-0.24466201338496407,-0.28272268042277016,-0.20726783026224732,2000
Only__Demographics_and_timing,Domain_only,Demographics and timing only,AUPRC,0.6754593236524882,0.3657647008856596,-0.3096946227668286,-0.3572833387214367,-0.2571853827454497,2000
Only__Demographics_and_timing,Domain_only,Demographics and timing only,Brier,0.14929884051124392,0.20364646302678271,0.05434762251553879,0.043475672728326066,0.06534466472538773,2000
Only__Demographics_and_timing,Domain_only,Demographics and timing only,LogLoss,0.4625601436382959,0.5969920354213138,0.13443189178301795,0.10609148258147166,0.16196949671285205,2000
Only__Clinical_symptoms_and_status,Domain_only,Symptoms and clinical status only,AUROC,0.8110214441443493,0.4816471966418274,-0.32937424750252187,-0.3686780244146096,-0.2895954385638397,2000
Only__Clinical_symptoms_and_status,Domain_only,Symptoms and clinical status only,AUPRC,0.6754593236524882,0.3061340215126236,-0.3693253021398646,-0.4132694537138189,-0.3208317810493863,2000
Only__Clinical_symptoms_and_status,Domain_only,Symptoms and clinical status only,Brier,0.14929884051124392,0.2078698612846682,0.05857102077342427,0.0480156862086241,0.06879341431665735,2000
Only__Clinical_symptoms_and_status,Domain_only,Symptoms and clinical status only,LogLoss,0.4625601436382959,0.6069706963154071,0.14441055267711123,0.11721619276158662,0.17189743609397337,2000
Only__Comorbidities_and_history,Domain_only,Comorbidities and history only,AUROC,0.8110214441443493,0.5672570043278774,-0.2437644398164719,-0.2773119590847753,-0.20802867069465056,2000
