Variant,Family,Display,N,Events,Retained_features_median,Retained_features_min,Retained_features_max,Prevalence,AUROC,AUPRC,Brier,LogLoss,Calibration_intercept,Calibration_slope,AUROC_CI_lower,AUROC_CI_upper,AUROC_bootstrap_valid,AUPRC_CI_lower,AUPRC_CI_upper,AUPRC_bootstrap_valid,Brier_CI_lower,Brier_CI_upper,Brier_bootstrap_valid,LogLoss_CI_lower,LogLoss_CI_upper,LogLoss_bootstrap_valid
Without__Demographics_and_timing,Leave_one_domain_out,Without Demographics and timing,1337,389,121.0,120,121,0.29094988780852654,0.8089334331239899,0.6695523330246551,0.15061655474047222,0.4660559886163482,-0.07883846463708537,0.854963426884578,0.7831243760677318,0.8335424894026874,2000,0.6209518324207605,0.7147643335519913,2000,0.13836155943929976,0.16268119216152163,2000,0.4326435520059483,0.497758262520199,2000
Without__Clinical_symptoms_and_status,Leave_one_domain_out,Without Symptoms and clinical status,1337,389,112.0,111,112,0.29094988780852654,0.8104655451064614,0.6785270193445978,0.14857197024430419,0.4625568421355722,-0.07630020157704281,0.8598928426771689,0.7835020660383855,0.8361000845399809,2000,0.6326868185266049,0.7249376321248603,2000,0.13685040050457117,0.16065095366919402,2000,0.43057782405288547,0.4950693300623719,2000
Without__Comorbidities_and_history,Leave_one_domain_out,Without Comorbidities and history,1337,389,111.0,110,111,0.29094988780852654,0.8154496545290857,0.6744949935550969,0.14850572828971853,0.46041665311694,-0.06346092519188488,0.872437905212308,0.7895815277874554,0.8403321199793566,2000,0.6245884006692878,0.7224047541662525,2000,0.13621934174771663,0.16025912845301385,2000,0.4285101316747665,0.4916290512502142,2000
Without__Laboratory_tests,Leave_one_domain_out,Without Laboratory tests,1337,389,104.0,103,104,0.29094988780852654,0.8182644018526353,0.6785479207806863,0.14820113086823844,0.4584102709357728,-0.07088914602355505,0.8736350803800954,0.7938542933746294,0.842030891850474,2000,0.6314754014603289,0.7231006357184581,2000,0.13641714280514927,0.16113188393451788,2000,0.42723718054038606,0.4929956531938992,2000
Without__Echocardiography_and_valve_status,Leave_one_domain_out,Without Echocardiography and valve status,1337,389,112.0,111,112,0.29094988780852654,0.7307333528575922,0.5774305790491007,0.17333804474860157,0.5254680348843654,-0.05486377427995289,0.8897415889449334,0.6990722403122185,0.7590115238724714,2000,0.528443856209292,0.6259382514041608,2000,0.16197207867335153,0.18512510373638685,2000,0.4966382101603501,0.5551606995180653,2000
Without__Preoperative_pathology_and_malperfusion,Leave_one_domain_out,Without Pathology and malperfusion,1337,389,112.0,111,112,0.29094988780852654,0.8030598852407449,0.6589474495061484,0.15338000453777045,0.47273254937572473,-0.060361062733966235,0.8710863336255209,0.7773403098270033,0.828346807709822,2000,0.6115399772464536,0.7078325299529454,2000,0.14132891097853634,0.16588253107651102,2000,0.4414879235053095,0.5054635145238668,2000
Without__Strict_preoperative_CTA,Leave_one_domain_out,Without CTA anatomy,1337,389,72.0,72,72,0.29094988780852654,0.7941410953109238,0.6373707917744414,0.15674286461118372,0.4861727395237676,-0.10422142463780336,0.8293646675017585,0.7673559520090496,0.8191569645459398,2000,0.588258621527089,0.6869315324155123,2000,0.14470152770543507,0.16892607215795483,2000,0.4534245703967063,0.5196209798577177,2000
Without__all_preoperative_imaging,Leave_group_out,Without echocardiography and CTA,1337,389,60.0,60,60,0.29094988780852654,0.6674937359669388,0.4827683126484821,0.18858388013711613,0.5640985664222586,-0.12521319294029604,0.8047716405607388,0.6349638472246385,0.700174193651966,2000,0.43271881552246355,0.5378887653160378,2000,0.17676933415321888,0.20060706432378222,2000,0.5346163018363586,0.5934513713135647,2000
Only__Demographics_and_timing,Domain_only,Demographics and timing only,1337,389,3.0,3,3,0.29094988780852654,0.5663594307593852,0.3657647008856596,0.20364646302678271,0.5969920354213138,-0.06768436017239415,0.8537536325543885,0.5327643408574401,0.5991921784630925,2000,0.32393871050714235,0.41363070801753604,2000,0.19191001063115715,0.21413861097544257,2000,0.5709265621088541,0.6204387142901543,2000
Only__Clinical_symptoms_and_status,Domain_only,Symptoms and clinical status only,1337,389,12.0,12,12,0.29094988780852654,0.4816471966418274,0.3061340215126236,0.2078698612846682,0.6069706963154071,-0.927118350007258,-0.041836097409822165,0.44630704608514826,0.51569728681601,2000,0.2707335425847009,0.3473570456270034,2000,0.19788405986664415,0.21755489651851107,2000,0.5856904396156619,0.6277585961342979,2000
Only__Comorbidities_and_history,Domain_only,Comorbidities and history only,1337,389,13.0,13,13,0.29094988780852654,0.5672570043278774,0.375451982915275,0.20170268871040684,0.5944372732833219,-0.189607140803534,0.7349299152375218,0.5308291050682894,0.6022355117609318,2000,0.33342231628423985,0.42255253379395047,2000,0.19021980285725237,0.21247011570207364,2000,0.5685609355783647,0.6187741752961169,2000
Only__Laboratory_tests,Domain_only,Laboratory tests only,1337,389,20.0,20,20,0.29094988780852654,0.5831733428785265,0.3550165032041803,0.2037136613761754,0.5985666189962751,-0.26776476585016556,0.6479383018464986,0.5515136268278783,0.6148450159428346,2000,0.31615901693930254,0.40003341505261786,2000,0.19262908626156908,0.21503947254194467,2000,0.5735591655559195,0.6245211738043984,2000
Only__Echocardiography_and_valve_status,Domain_only,Echocardiography and valve status only,1337,389,12.0,12,12,0.29094988780852654,0.782894308678533,0.6180399107305782,0.16080737270232678,0.4993959432254851,-0.04416734126852957,0.865829519127464,0.7540942550815265,0.8100130087050715,2000,0.5679322349217787,0.6703274111814058,2000,0.14814485029479038,0.17378450774181922,2000,0.46699688674718914,0.534030732962169,2000
Only__Preoperative_pathology_and_malperfusion,Domain_only,Pathology and malperfusion only,1337,389,12.0,12,12,0.29094988780852654,0.5827191326890327,0.3681724116128127,0.19987146399454853,0.5884303787790017,-0.15697380788599807,0.7619232787671376,0.5483940038076972,0.6188758431557212,2000,0.327111300583895,0.41391246616470795,2000,0.18847911634765308,0.21159857189259476,2000,0.5627433241079384,0.6154358633382905,2000
Only__Strict_preoperative_CTA,Domain_only,CTA anatomy only,1337,389,52.0,51,52,0.29094988780852654,0.6890639744883018,0.4997227751830286,0.1846812039618017,0.552979772760208,0.008033499623812302,0.9478910596406505,0.6569928332707154,0.7196153515562698,2000,0.4527046713132403,0.5489834027508488,2000,0.17313398847606906,0.1960417647507823,2000,0.5253907328088621,0.5798171907262429,2000
Only__anatomy_focused,Domain_group_only,Anatomy-focused domains only,1337,389,76.0,75,76,0.29094988780852654,0.8196799106222816,0.6715409803299913,0.14786273666421157,0.4610826655485863,-0.059270762202724814,0.8742131931793337,0.7943775096599353,0.8438151040990257,2000,0.622622187123019,0.7222296117480439,2000,0.13587952858737137,0.1602958156563968,2000,0.42904642702917634,0.49480987919086106,2000
