Scheme,Metric,Raw_estimate,Training_only_recalibrated_estimate,Paired_delta_recalibrated_minus_raw,Delta_CI_lower,Delta_CI_upper,Bootstrap_valid,N,Events
LEAVE_ONE_SURGEON_OUT,AUROC,0.8124477997244909,0.8110214441443493,-0.0014263555801415917,-0.00328255713208174,0.00031976920465641683,2000,1337,389
LEAVE_ONE_SURGEON_OUT,AUPRC,0.6758912222202104,0.6754593236524882,-0.0004318985677221887,-0.002575951492887499,0.0019053474202533806,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Brier,0.15346820054860472,0.14929884051124392,-0.004169360037360792,-0.0077239565019742665,-0.0004628106226133284,2000,1337,389
LEAVE_ONE_SURGEON_OUT,LogLoss,0.4756990001941941,0.4625601436382959,-0.013138856555898193,-0.0250159735910511,-0.001148885049980745,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Calibration_intercept,-0.31338959476614286,-0.06779475693006305,0.24559483783607983,0.21564690464637065,0.2813189825577808,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Calibration_slope,1.2065277790217765,0.8691561221147338,-0.33737165690704274,-0.38426235735252395,-0.2970260037492638,2000,1337,389
ROLLING_YEAR,AUROC,0.815522958802617,0.8157719156733289,0.00024895687071180284,-0.0019940718089350635,0.002449851868261309,2000,724,187
ROLLING_YEAR,AUPRC,0.6475295312849663,0.6469885247469388,-0.0005410065380274665,-0.003906828607740745,0.002655001602608325,2000,724,187
ROLLING_YEAR,Brier,0.15013453623546866,0.1413512883415088,-0.008783247893959845,-0.013167566887842052,-0.0039572497428648,2000,724,187
ROLLING_YEAR,LogLoss,0.46803674145328344,0.4402466068357434,-0.02779013461754004,-0.04138294621659689,-0.012724513418037578,2000,724,187
ROLLING_YEAR,Calibration_intercept,-0.5276194234865768,-0.28037490859986636,0.2472445148867104,0.20794202299152686,0.29610697636021904,2000,724,187
ROLLING_YEAR,Calibration_slope,1.2098049574037923,0.8765126695592629,-0.33329228784452947,-0.39880526895845897,-0.27895628918775245,2000,724,187
