Characteristic,Type,Overall,No Bentall,Bentall,Overall_missing_n_pct
"Patients, N",count,1337,948,389,0 (0.0%)
"Age, years",median [IQR],52.0 [44.0–60.0],52.0 [45.0–60.0],50.0 [42.0–58.0],0 (0.0%)
"Symptom onset to admission, days",median [IQR],2.0 [1.0–5.0],2.0 [1.0–5.0],3.0 [2.0–5.0],0 (0.0%)
Preoperative aortic-regurgitation measure,median [IQR],2.1 [0.0–5.1],1.5 [0.0–3.1],5.4 [2.8–8.1],175 (13.1%)
LV end-diastolic diameter,median [IQR],48.0 [44.0–52.0],47.0 [43.0–50.0],50.0 [46.0–55.0],119 (8.9%)
"Left-ventricular ejection fraction, %",median [IQR],64.0 [61.0–67.0],64.0 [61.0–67.0],64.0 [60.0–67.0],120 (9.0%)
Hemoglobin,median [IQR],128.0 [115.0–139.0],127.0 [115.0–139.0],130.0 [118.0–139.0],20 (1.5%)
Creatinine,median [IQR],92.4 [71.8–120.4],93.2 [73.0–122.8],89.0 [69.7–115.3],22 (1.6%)
D-dimer,median [IQR],8875.0 [3165.0–20001.0],9750.0 [3560.0–20001.0],6530.0 [2450.0–20001.0],159 (11.9%)
Male sex,n (% observed),1100 (82.3%),767 (80.9%),333 (85.6%),0 (0.0%)
Hypertension,n (% observed),826 (61.8%),633 (66.8%),193 (49.6%),0 (0.0%)
Connective tissue disorder,n (% observed),51 (3.8%),16 (1.7%),35 (9.0%),0 (0.0%)
Preoperative hemodynamic instability,n (% observed),26 (1.9%),17 (1.8%),9 (2.3%),0 (0.0%)
First tear at aortic root,n (% observed),76 (5.7%),29 (3.1%),47 (12.1%),1 (0.1%)
First tear in ascending aorta,n (% observed),494 (36.9%),282 (29.7%),212 (54.5%),0 (0.0%)
Right coronary artery from false lumen,n (% observed),23 (1.7%),1 (0.1%),22 (5.7%),0 (0.0%)
Cardiac malperfusion,n (% observed),196 (14.7%),97 (10.2%),99 (25.4%),0 (0.0%)
Renal malperfusion,n (% observed),286 (21.4%),217 (22.9%),69 (17.7%),0 (0.0%)
Pericardial effusion,n (% observed),464 (34.7%),313 (33.0%),151 (38.8%),0 (0.0%)
Tamponade,n (% observed),45 (3.4%),30 (3.2%),15 (3.9%),0 (0.0%)
