Scheme,Reference_model,Comparison_model,Metric,Reference_estimate,Comparison_estimate,Paired_delta_comparison_minus_reference,Delta_CI_lower,Delta_CI_upper,Bootstrap_valid,N,Events
LEAVE_ONE_SURGEON_OUT,Phenotype_only,Phenotype_plus_observation,AUROC,0.8110214441443493,0.8062732528499995,-0.0047481912943497795,-0.011579434933257826,0.0019658690310863716,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Phenotype_only,Phenotype_plus_observation,AUPRC,0.6754593236524882,0.674102827138385,-0.0013564965141031893,-0.009583677671860502,0.006577871354626506,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Phenotype_only,Phenotype_plus_observation,Brier,0.14929884051124392,0.1498429065015813,0.0005440659903373779,-0.001659736885171933,0.0029326293394235613,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Phenotype_only,Phenotype_plus_observation,LogLoss,0.4625601436382959,0.4658148964402742,0.003254752801978289,-0.002975759368506729,0.009710111936920325,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Phenotype_only,Phenotype_plus_observation,Calibration_intercept,-0.06779475693006305,-0.09370645967756346,-0.025911702747500404,-0.056624146900932544,0.0005384860760052715,2000,1337,389
LEAVE_ONE_SURGEON_OUT,Phenotype_only,Phenotype_plus_observation,Calibration_slope,0.8691561221147338,0.8499417905197418,-0.019214331594991974,-0.04812240368540567,0.008708181235295619,2000,1337,389
ROLLING_YEAR,Phenotype_only,Phenotype_plus_observation,AUROC,0.8157719156733289,0.8110815682291199,-0.004690347444208931,-0.013418720986713272,0.003802993810705139,2000,724,187
ROLLING_YEAR,Phenotype_only,Phenotype_plus_observation,AUPRC,0.6469885247469388,0.6430174732103537,-0.003971051536585057,-0.016819926665240067,0.008897698014413839,2000,724,187
ROLLING_YEAR,Phenotype_only,Phenotype_plus_observation,Brier,0.1413512883415088,0.14138407793070398,3.2789589195170166e-05,-0.0033059447534183515,0.003285082108873679,2000,724,187
ROLLING_YEAR,Phenotype_only,Phenotype_plus_observation,LogLoss,0.4402466068357434,0.4404504390282674,0.00020383219252401164,-0.008446482888717197,0.008932696928450994,2000,724,187
ROLLING_YEAR,Phenotype_only,Phenotype_plus_observation,Calibration_intercept,-0.28037490859986636,-0.16479532930136087,0.11557957929850549,0.07361677458012622,0.161330721557202,2000,724,187
ROLLING_YEAR,Phenotype_only,Phenotype_plus_observation,Calibration_slope,0.8765126695592629,0.8748655677005577,-0.0016471018587052022,-0.039302475036977196,0.037249887635676854,2000,724,187
